Date,Canton,Longitude,Latitude,Starting zone,Elevation,Aspect,Activity,Danger level,caught,buried,killed
19.03.11,GR,9.954968581313734,46.787181736827904,Davos,2770,W,1,3,4,4,3
20.03.11,BE,8.048282406416243,46.671512064895445,Grindelwald,2430,SW,2,3,1,1,1
20.03.11,VS,7.811151805959562,45.96179604488721,Zermatt,2630,WNW,1,3,2,1,1
26.03.11,VS,7.22528386959476,45.93106837780483,Bourg-Saint-Pierre,2190,NE,1,3,10,9,5
01.04.11,VS,7.6492899724387335,46.17418487114362,Anniviers,2820,NW,1,2,7,4,3
07.12.11,VS,7.912911609602789,46.064655261154506,Saas-Fee,3100,N,3,-,2,2,1
11.12.11,VS,7.963913276761496,45.99948087315752,Saas-Almagell,2970,NE,1,3,2,1,1
20.12.11,VS,7.111740954784009,46.1635004226707,Fully,2000,SE,3,-,1,1,1
23.12.11,GR,9.719215258536984,46.52663538653465,Bever,2690,NE,1,3,1,1,1
29.12.11,GR,9.786569841521645,46.525056646313146,Celerina/Schlarigna,2995,E,1,3,2,1,1
03.01.12,GR,9.579230136581378,46.42197381217055,Avers,2820,NE,1,3,4,3,2
27.01.12,UR,8.588648746381619,46.62144166242259,Andermatt / Hospental,1800,NW,2,2,1,1,1
08.02.12,NW,8.251169492672377,46.98058536336457,Hergiswil,1940,NW,1,2,1,1,1
09.02.12,GR,9.763090338707961,46.7988714882626,Langwies,2300,NNE,1,3,1,,1
10.02.12,VS,8.317011177615903,46.55082065311612,Obergoms,2530,SE,1,3,2,1,1
12.02.12,GR,9.473021734819849,46.89156420832585,Haldenstein,2499,E,1,3,1,,1
17.02.12,GR,9.818933693892372,46.82947168037757,Davos,2480,NE,2,3,1,1,1
24.02.12,NW,8.356503122737232,46.937330428705906,Stans,1340,N,3,2,1,1,1
09.04.12,VS,7.2448680840651605,45.89402521662022,Bourg-Saint-Pierre,3500,WSW,1,3,1,,1
17.04.12,VS,7.659848518908948,46.19461165694793,Anniviers,2900,NW,1,2,2,1,1
17.04.12,GR,10.07034091333812,46.79786525228693,Lavin,3305,S,1,2,3,1,1
23.04.12,FR,7.368221160441777,46.65547088703324,Plaffeien,2100,NNW,1,2,2,,1
25.04.12,VS,7.302174316850178,46.0943645871917,Nendaz,2800,N,2,3,1,1,1
27.10.12,GR,9.908449582080703,46.38010064007242,Pontresina,3950,NE,1,-,1,1,1
12.11.12,GR,9.971441826366352,46.417681396983156,Pontresina,2740,N,2,-,1,1,1
19.12.12,VS,7.289784146185407,46.105044570620585,Nendaz,2525,NE,2,3,4,1,1
23.12.12,SG,9.396552854573237,46.99795004994251,Vilters-Wangs,2260,NNE,1,4,1,1,1
19.01.13,BE,7.712796563685767,46.5408735277124,Kandergrund,2690,W,1,2,2,1,1
