Date,Canton,Starting zone,Elevation,Aspect,Activity,Danger level,caught,buried,killed
10.02.12,VS,Obergoms,2530,SE,1,3,2,1,1
12.02.12,GR,Haldenstein,2499,E,1,3,1,,1
17.02.12,GR,Davos,2480,NE,2,3,1,1,1
24.02.12,NW,Stans,1340,N,3,2,1,1,1
09.04.12,VS,Bourg-Saint-Pierre,3500,WSW,1,3,1,,1
17.04.12,VS,Anniviers,2900,NW,1,2,2,1,1
17.04.12,GR,Lavin,3305,S,1,2,3,1,1
23.04.12,FR,Plaffeien,2100,NNW,1,2,2,,1
25.04.12,VS,Nendaz,2800,N,2,3,1,1,1
27.10.12,GR,Pontresina,3950,NE,1,-,1,1,1
12.11.12,GR,Pontresina,2740,N,2,-,1,1,1
19.12.12,VS,Nendaz,2525,NE,2,3,4,1,1
23.12.12,SG,Vilters-Wangs,2260,NNE,1,4,1,1,1
19.01.13,BE,Kandergrund,2690,W,1,2,2,1,1
24.01.13,GR,Alvaneu,2250,E,1,2,1,1,1
29.01.13,FR,Semsales,1750,,1,-3,1,1,1
03.02.13,VS,Anniviers,2890,SW,1,3,1,1,1
12.02.13,VS,Anniviers,2600,W,2,2,1,1,1
13.02.13,VS,Isérables,2470,W,2,2,1,,1
13.02.13,VS,Nendaz,3150,SSW,2,2,6,4,2
16.02.13,VS,Anniviers,2720,S,1,2,2,2,1
16.02.13,VS,Orsières,2160,NNE,1,2,1,1,1
04.03.13,GR,Tavetsch/Tujetsch,1890,SE,1,1↗︎2,1,1,1
19.03.13,VS,Trient,2065,N,2,3,1,1,1
21.03.13,GR,Disentis/Mustér,2820,SSE,2,2,5,2,1
29.03.13,GR,Poschiavo,2370,W,1,-2,5,4,2
12.04.13,VS,Fieschertal,3320,S,1,3,13,7,1
13.04.13,VS,Zermatt,3380,SE,1,2↗︎3,3,,1
14.04.13,VS,Fieschertal,3730,S,1,3↗︎4,2,1,1
26.12.13,UR,Realp,1720,N,1,3,1,1,1
27.12.13,GR,St. Moritz,3010,SE,2,3,1,1,1
29.12.13,VD,Bex,2050,NNW,1,-3,1,1,1
29.12.13,VS,Orsières,2072,NE,1,3,1,1,1
30.12.13,GR,Davos,2590,ENE,1,3,2,1,1
30.12.13,VS,Evolène,2390,NNE,1,3,1,1,1
30.12.13,VS,Orsières,2640,N,1,3,1,1,1
05.01.14,VS,Mont-Noble,2680,WNW,1,3,6,4,4
05.01.14,VS,Nendaz,2025,NNW,2,3,1,,1
09.02.14,VS,Martigny-Combe,2330,NNE,1,-3,6,2,1
17.02.14,VS,Nendaz,2210,NE,2,3,1,1,1
18.02.14,VS,Anniviers,2785,NNE,2,3,1,1,1
17.03.14,VS,Täsch,3570,NE,2,1↗︎3,3,2,2
19.07.14,VS,Anniviers,3460,N,1,-,6,4,2
19.07.14,VS,Zermatt,3760,S,1,-,2,1,2
04.08.14,VS,Zermatt,3690,S,1,-,1,,1
20.11.14,NW,Emmetten,1850,NW,1,-2,1,,1
08.12.14,VS,Simplon,3170,SE,1,2,4,,1
20.12.14,SG,Mels,2820,E,1,3,1,1,1
04.01.15,VS,Anniviers,2513,NW,2,3,1,1,1
04.01.15,GR,Valsot,2730,ESE,1,-3,2,2,1
06.01.15,GR,Bivio,3050,S,1,3,1,1,1
18.01.15,GR,St. Moritz,2950,SE,2,3,3,2,1
29.01.15,SG,Amden,1550,SE,1,-3,1,1,1
29.01.15,VS,Riddes,2380,N,2,3,5,1,1
30.01.15,BE,Adelboden,1875,E,2,3,1,1,1
31.01.15,BE,Adelboden,1980,NW,2,3,1,1,1
31.01.15,BE,Lauterbrunnen,2380,E,2,3,1,1,1
31.01.15,GR,Seewis im Prättigau,2340,E,1,3,8,7,5
