date,region,wind
2003-12-25 00:00:00,nord,modere 
2003-12-27 00:00:00,sud,fort 
2003-12-28 00:00:00,-,faible 
2003-12-29 00:00:00,nord,modere 
2003-12-31 00:00:00,-,faible 
2004-01-01 00:00:00,-,faible 
2004-01-03 00:00:00,-,faible 
2004-01-05 00:00:00,-,fort 
2004-01-06 00:00:00,nord,fort 
2004-01-08 00:00:00,sud,modere 
2004-01-09 00:00:00,nord,fort 
,ouest,modere 
2004-01-11 00:00:00,sud,modere 
2004-01-15 00:00:00,-,fort 
2004-01-17 00:00:00,-,fort 
2004-01-18 00:00:00,-,faible 
2004-01-19 00:00:00,nord,modere 
2004-01-20 00:00:00,nord,fort 
2004-01-21 00:00:00,-,modere 
2004-01-23 00:00:00,nord,fort 
2004-01-27 00:00:00,ouest,fort 
2004-01-30 00:00:00,-,modere 
2004-01-31 00:00:00,sud,fort 
2004-02-01 00:00:00,sud,fort 
2004-02-02 00:00:00,ouest,fort 
2004-02-03 00:00:00,-,faible 
2004-02-04 00:00:00,-,faible 
2004-02-05 00:00:00,sud,modere 
2004-02-08 00:00:00,-,fort 
2004-02-09 00:00:00,-,faible 
2004-02-11 00:00:00,nord,fort 
2004-02-12 00:00:00,-,modere 
2004-02-13 00:00:00,-,faible 
2004-02-14 00:00:00,nord,modere 
2004-02-15 00:00:00,nord,modere 
2004-02-16 00:00:00,-,faible 
2004-02-18 00:00:00,nord,modere 
2004-02-19 00:00:00,-,fort 
2004-02-23 00:00:00,-,faible 
2004-02-24 00:00:00,nord,modere 
2004-02-25 00:00:00,nord,modere 
2004-02-26 00:00:00,-,faible 
2004-02-27 00:00:00,nord,modere 
,sud,faible 
2004-02-28 00:00:00,nord,modere 
2004-02-29 00:00:00,-,faible 
2004-03-01 00:00:00,-,modere 
2004-03-02 00:00:00,nord,fort 
2004-03-04 00:00:00,ouest,modere 
2004-03-05 00:00:00,ouest,modere 
2004-03-07 00:00:00,-,faible 
2004-03-08 00:00:00,nord,fort 
2004-03-09 00:00:00,nord,fort 
2004-03-13 00:00:00,sud,fort 
2004-03-15 00:00:00,-,faible 
2004-03-22 00:00:00,-,fort 
2004-03-25 00:00:00,nord,modere 
2004-03-27 00:00:00,sud,modere 
2004-03-29 00:00:00,-,faible 
2004-03-30 00:00:00,sud,fort 
2004-03-31 00:00:00,-,faible 
2004-04-02 00:00:00,sud,fort 
2004-04-03 00:00:00,sud,modere 
2004-04-05 00:00:00,nord,fort 
,est,modere 
2004-04-06 00:00:00,-,modere 
2004-04-09 00:00:00,-,faible 
2004-04-11 00:00:00,-,modere 
2004-04-14 00:00:00,-,modere 
2004-04-15 00:00:00,-,modere 
2004-04-16 00:00:00,sud,fort 
2004-04-17 00:00:00,-,faible 
2004-04-19 00:00:00,-,modere 
2004-04-20 00:00:00,-,faible 
2004-04-21 00:00:00,-,faible 
2004-04-22 00:00:00,-,faible 
2004-04-23 00:00:00,nord,modere 
2004-04-24 00:00:00,-,modere 
2004-04-25 00:00:00,nord,fort 
2004-04-26 00:00:00,est,modere 
2004-04-27 00:00:00,-,faible 
2004-04-28 00:00:00,-,modere 
2004-04-29 00:00:00,-,fort 
2004-05-01 00:00:00,-,faible 
2004-05-03 00:00:00,-,modere 
2004-05-04 00:00:00,-,faible 
2004-05-05 00:00:00,-,modere 
2004-05-06 00:00:00,nord,modere 
2004-05-08 00:00:00,-,modere 
2004-05-10 00:00:00,-,faible 
2004-05-12 00:00:00,-,faible 
2004-05-13 00:00:00,nord,modere 
2004-05-14 00:00:00,-,faible 
2004-05-16 00:00:00,-,fort 
2004-05-17 00:00:00,nord,modere 
2004-06-03 00:00:00,-,modere 
2004-06-10 00:00:00,ouest,modere 
,sud,faible 
2004-10-29 00:00:00,sud,fort 
2004-11-29 00:00:00,sud,fort 
2004-12-16 00:00:00,sud,modere 
2004-12-19 00:00:00,-,faible 
2004-12-20 00:00:00,-,faible 
2004-12-22 00:00:00,-,faible 
2004-12-24 00:00:00,-,modere 
2004-12-26 00:00:00,-,modere 
2004-12-27 00:00:00,nord,modere 
2004-12-29 00:00:00,-,fort 
2004-12-30 00:00:00,-,modere 
2005-01-01 00:00:00,-,modere 
2005-01-02 00:00:00,ouest,fort 
2005-01-03 00:00:00,nord,fort 
2005-01-04 00:00:00,nord,fort 
2005-01-05 00:00:00,-,modere 
2005-01-06 00:00:00,ouest,modere 
2005-01-08 00:00:00,sud,fort 
2005-01-09 00:00:00,-,modere 
2005-01-11 00:00:00,sud,modere 
2005-01-13 00:00:00,nord,modere 
2005-01-14 00:00:00,-,modere 
2005-01-15 00:00:00,-,modere 
2005-01-16 00:00:00,-,faible 
2005-01-17 00:00:00,-,faible 
2005-01-18 00:00:00,-,fort 
2005-01-22 00:00:00,-,modere 
2005-01-23 00:00:00,ouest,modere 
2005-01-24 00:00:00,-,modere 
2005-01-28 00:00:00,-,faible 
2005-01-29 00:00:00,-,modere 
2005-01-30 00:00:00,nord,fort 
2005-01-31 00:00:00,-,modere 
2005-02-01 00:00:00,-,fort 
2005-02-03 00:00:00,nord,fort 
2005-02-04 00:00:00,nord,modere 
2005-02-05 00:00:00,-,faible 
2005-02-06 00:00:00,-,faible 
2005-02-07 00:00:00,-,modere 
2005-02-08 00:00:00,-,faible 
2005-02-09 00:00:00,-,faible 
2005-02-10 00:00:00,ouest,modere 
2005-02-12 00:00:00,ouest,fort 
,est,modere 
2005-02-13 00:00:00,est,fort 
,ouest,fort 
2005-02-15 00:00:00,-,faible 
2005-02-16 00:00:00,-,faible 
2005-02-18 00:00:00,-,faible 
2005-02-21 00:00:00,nord,modere 
2005-02-24 00:00:00,sud,modere 
2005-02-25 00:00:00,-,faible 
2005-02-27 00:00:00,nord,modere 
2005-02-28 00:00:00,-,faible 
2005-03-01 00:00:00,-,modere 
2005-03-02 00:00:00,-,modere 
2005-03-03 00:00:00,sud,modere 
2005-03-04 00:00:00,-,faible 
2005-03-05 00:00:00,ouest,modere 
2005-03-06 00:00:00,-,faible 
2005-03-07 00:00:00,-,modere 
2005-03-11 00:00:00,ouest,fort 
2005-03-12 00:00:00,-,fort 
2005-03-13 00:00:00,nord,fort 
2005-03-14 00:00:00,-,faible 
2005-03-15 00:00:00,-,faible 
2005-03-16 00:00:00,-,faible 
2005-03-17 00:00:00,-,faible 
2005-03-18 00:00:00,-,faible 
2005-03-19 00:00:00,-,faible 
2005-03-22 00:00:00,-,faible 
2005-03-23 00:00:00,sud,modere 
2005-03-24 00:00:00,-,faible 
2005-03-26 00:00:00,sud,modere 
2005-03-27 00:00:00,-,faible 
2005-03-30 00:00:00,-,modere 
2005-03-31 00:00:00,-,faible 
2005-04-02 00:00:00,sud,modere 
2005-04-03 00:00:00,sud,modere 
2005-04-04 00:00:00,sud,modere 
2005-04-05 00:00:00,-,faible 
2005-04-06 00:00:00,sud,modere 
2005-04-10 00:00:00,-,fort 
2005-04-12 00:00:00,est,modere 
2005-04-13 00:00:00,-,faible 
2005-04-14 00:00:00,sud,modere 
2005-04-15 00:00:00,sud,modere 
2005-04-16 00:00:00,-,fort 
2005-04-17 00:00:00,ouest,modere 
2005-04-19 00:00:00,ouest,modere 
2005-04-20 00:00:00,nord,modere 
2005-04-21 00:00:00,est,modere 
2005-04-22 00:00:00,-,faible 
2005-04-23 00:00:00,-,faible 
2005-04-24 00:00:00,sud,fort 
2005-04-25 00:00:00,sud,fort 
2005-04-26 00:00:00,nord,fort 
2005-04-27 00:00:00,sud,modere 
2005-04-29 00:00:00,-,faible 
2005-04-30 00:00:00,-,faible 
2005-05-01 00:00:00,-,faible 
2005-05-02 00:00:00,-,faible 
2005-05-03 00:00:00,-,faible 
2005-05-04 00:00:00,-,faible 
2005-05-05 00:00:00,-,faible 
2005-05-06 00:00:00,-,modere 
2005-05-07 00:00:00,ouest,fort 
2005-05-08 00:00:00,nord,fort 
2005-05-11 00:00:00,nord,modere 
,ouest,faible 
2005-05-13 00:00:00,sud,modere 
,ouest,modere 
2005-05-16 00:00:00,sud,fort 
,nord,fort 
2005-05-18 00:00:00,nord,faible 
2005-05-20 00:00:00,sud,fort 
,ouest,modere 
2005-05-23 00:00:00,nord,faible 
2005-06-02 00:00:00,-,faible 
2005-08-15 00:00:00,-,fort 
2005-11-16 00:00:00,-,modere 
2005-11-21 00:00:00,-,modere 
2005-12-03 00:00:00,sud,fort 
,ouest,modere 
2005-12-04 00:00:00,sud,fort 
2005-12-05 00:00:00,sud,modere 
2005-12-06 00:00:00,sud,faible 
,nord,modere 
2005-12-08 00:00:00,sud,modere 
2005-12-09 00:00:00,-,faible 
2005-12-10 00:00:00,nord,modere 
2005-12-11 00:00:00,est,fort 
2005-12-12 00:00:00,est,fort 
2005-12-13 00:00:00,-,faible 
2005-12-14 00:00:00,-,faible 
2005-12-16 00:00:00,-,fort 
2005-12-17 00:00:00,-,fort 
,-,fort 
2005-12-18 00:00:00,-,modere 
2005-12-19 00:00:00,-,modere 
2005-12-20 00:00:00,nord,modere 
2005-12-21 00:00:00,-,modere 
2005-12-24 00:00:00,nord,modere 
,ouest,faible 
2005-12-25 00:00:00,-,faible 
2005-12-26 00:00:00,-,faible 
2005-12-27 00:00:00,-,faible 
2005-12-29 00:00:00,-,faible 
2005-12-30 00:00:00,ouest,modere 
2005-12-31 00:00:00,-,fort 
,-,fort 
2006-01-01 00:00:00,-,faible 
2006-01-02 00:00:00,nord,faible 
2006-01-03 00:00:00,nord,modere 
2006-01-04 00:00:00,est,faible 
2006-01-05 00:00:00,sud,modere 
2006-01-06 00:00:00,sud,modere 
2006-01-07 00:00:00,sud,modere 
2006-01-08 00:00:00,-,faible 
2006-01-09 00:00:00,-,faible 
2006-01-10 00:00:00,-,faible 
2006-01-11 00:00:00,-,faible 
2006-01-14 00:00:00,sud,modere 
2006-01-15 00:00:00,-,modere 
2006-01-16 00:00:00,sud,modere 
